model,P@10,R@10,NDCG@10,MRR,HR@10,Novelty,Coverage
Random,0.004522613065326633,0.001528210291799403,0.004815004276503117,0.014983648400733829,0.04522613065326633,7.661855075548534,0.1837916063675832
Most Popular,0.2266331658291457,0.08135342393067864,0.260411675793976,0.4993060540799234,0.7738693467336684,1.7347075739106512,0.006345318935767561
Highest Rated,0.06834170854271357,0.021086561133418957,0.07592738761577364,0.19417524128579403,0.4120603015075377,3.8440463035056047,0.004118891239007013
Content-Based,0.022613065326633167,0.00626859824342263,0.02231571209454359,0.059420116455292334,0.18592964824120603,6.874759706021017,0.11265724145608372
Item-Item CF,0.031658291457286436,0.003690824708910822,0.02729535647974654,0.03689877961234744,0.1306532663316583,8.800462978395176,0.06100411889123901
User-User CF,0.33668341708542715,0.14360919780804765,0.39683307373347754,0.6619944962909786,0.8944723618090452,2.2237311846008514,0.02604920405209841
Matrix Fact. (SVD),0.025628140703517592,0.007184230479747168,0.02258156330133248,0.051918321767568,0.23115577889447236,5.36658056739446,0.0027830346209506847
